Chapter,category,English,French,Spanish,Chinese,definition,example,Wikipedia link
,Algorithms,Algorithm,Algorithme,Algoritmo,算法 (Suànfǎ),A step-by-step procedure for solving a problem or accomplishing a task.,Finding the greatest common divisor of two numbers.,https://en.wikipedia.org/wiki/Algorithm
,Algorithms,Pseudocode,Pseudocode,Pseudocódigo,伪代码 (Wěi dàimǎ),A high-level description of an algorithm that is intended for human understanding rather than machine execution.,IF number is EVEN THEN PRINT 'Even' ELSE PRINT 'Odd',https://en.wikipedia.org/wiki/Pseudocode
01 Sets,basic algebra,Absorption,Absorption,Absorción,吸收性 (Xīshōu xìng),A property in algebra where an element combined with another element using one operation results in the first element.,"For logical operations, p OR (p AND q) = p",https://en.wikipedia.org/wiki/Absorption_(logic)
01 Sets,basic algebra,Associativity,Associativité,Asociatividad,结合性 (Jiéhé xìng),A property of some binary operations where the grouping of operands does not affect the result.,"For addition, (2 + 3) + 4 = 2 + (3 + 4) = 9",https://en.wikipedia.org/wiki/Associative_property
01 Sets,basic algebra,Closure,Fermeture,Cierre,封闭性 (Fēngbì xìng),A property where the result of combining two elements from a set is also an element of the set.,The set of integers is closed under addition because the sum of any two integers is an integer,https://en.wikipedia.org/wiki/Closure_(mathematics)
01 Sets,basic algebra,Commutativity,Commutativité,Conmutatividad,交换性 (Jiāohuàn xìng),A property of some binary operations where the order of operands does not affect the result.,3 + 4 = 4 + 3 = 7,https://en.wikipedia.org/wiki/Commutative_property
01 Sets,basic algebra,De Morgan's Laws,Lois de De Morgan,Leyes de De Morgan,德摩根定律 (Dé mó gēn dìnglǜ),The negation of a conjunction is the disjunction of the negations and vice versa.,The negation of (p AND q) is equivalent to (NOT p OR NOT q),https://en.wikipedia.org/wiki/De_Morgan%27s_laws
01 Sets,basic algebra,Distributivity,Distributivité,Distributividad,分配性 (Fēnpèi xìng),A property where the multiplication of a number by a sum is equal to the sum of the multiplications of the number by each term in the sum.,2 * (3 + 4) = 2*3 + 2*4 = 14,https://en.wikipedia.org/wiki/Distributive_property
01 Sets,basic algebra,Idempotent,Idempotent,Idempotente,幂等性 (Mǐ děng xìng),A property where an element combined with itself results in itself.,"For logical operations, p OR p = p",https://en.wikipedia.org/wiki/Idempotence
01 Sets,basic algebra,Identity,Identité,Identidad,恒等式 (Héng děngshì),"An element that, when combined with another element using a binary operation, leaves the second element unchanged.","For addition, 5 + 0 = 5",https://en.wikipedia.org/wiki/Identity_(mathematics)
01 Sets,basic algebra,Identity Element,Élément neutre,Elemento neutro,单位元 (Dānwèi yuán),An element that does not change the value of other elements when combined with them.,"For addition, the identity element is 0 because 5 + 0 = 5",https://en.wikipedia.org/wiki/Identity_element
01 Sets,basic algebra,Inverse,Inverse,Inverso,逆 (Nì),"An element that, when combined with another element using a binary operation, results in the identity element.",The additive inverse of 5 is -5 because 5 + (-5) = 0,https://en.wikipedia.org/wiki/Inverse_(logic)
01 Sets,basic algebra,Inverse Element,Élément inverse,Elemento inverso,逆元 (Nì yuán),An element that when combined with another element results in the identity element.,The additive inverse of 5 is -5 because 5 + (-5) = 0,https://en.wikipedia.org/wiki/Inverse_element
11 Basic Logic,basic logic,Antecedent,Antécédent,Antecedente,前件 (Qián jiàn),The first part of a conditional statement.,"You study in the conditional statement ""If you study, then you will pass the exam""",https://en.wikipedia.org/wiki/Antecedent_(logic)
11 Basic Logic,basic logic,Biconditional,Biconditionnel,Bicondicional,双条件 (Shuāng tiáojiàn),"A statement that two things are true at the same time, or both are false.",It is sunny if and only if the sky is clear,https://en.wikipedia.org/wiki/Logical_biconditional
11 Basic Logic,basic logic,Conditional Statement,Déclaration conditionnelle,Declaración condicional,条件语句 (Tiáojiàn yǔjù),"A statement that if one thing is true, then another thing is also true.","If you study, then you will pass the exam",https://en.wikipedia.org/wiki/Conditional_sentence
11 Basic Logic,basic logic,Conjunction,Conjonction,Conjunción,合取 (Héqǔ),A logical operation that results in true only if both of its operands are true.,It is raining and it is cold,https://en.wikipedia.org/wiki/Logical_conjunction
11 Basic Logic,basic logic,Consequent,Conséquent,Consecuente,后件 (Hòu jiàn),The second part of a conditional statement following the 'then'.,"You will pass the exam in the conditional statement ""If you study, then you will pass the exam""",https://en.wikipedia.org/wiki/Consequent
11 Basic Logic,basic logic,Contradiction,Contradiction,Contradicción,矛盾 (Máodùn),A statement that is always false.,It is raining and it is not raining at the same time,https://en.wikipedia.org/wiki/Contradiction
11 Basic Logic,basic logic,Disjunction,Disjonction,Disyunción,析取 (Xīqǔ),A logical operation that results in true if at least one of its operands is true.,It is raining or it is sunny,https://en.wikipedia.org/wiki/Logical_disjunction
11 Basic Logic,basic logic,Implication,Implication,Implicación,蕴涵 (Yùnhán),"A statement that if one thing is true, then another thing is also true.","If it rains, then the ground will be wet",https://en.wikipedia.org/wiki/Material_conditional
